1  1  2  2  2  2  1  1  2  1  2  2  2  2
-1.8624439269   -1.6474059296   -1.6922588211   -0.5441402499   -0.2606661919   -0.1142656860   -0.0334553057    0.0639646522    1.7400807019    1.6920696995    1.7433801190    1.7099126433    1.7286026633    1.8267960584
0.0728282932    3.2159160170    2.9783702257    6.1227389856    6.3287834199    1.2162200452    3.5356734376    3.7408542633    5.1951242569    0.0707893885    5.2312384755    5.0906542354    2.7309529020    2.4031188223
-0.1139779402    2.9835876517    0.1190244936    1.1796791242    4.0014274135    1.1950587874    1.2676184712    3.5993159545    0.0085990593   -0.2004563322    4.9861912082    2.5165048012   -0.0321004692    2.5607555652
1  2  1  1  2  2  2  1  1  2  1  1  2  1
-1.9388279657   -2.0392211129   -1.9172636533   -0.2805351612   -0.2641223989   -0.0081776377    0.1634199727   -0.0246426688    1.6467321084    1.6645698272    1.6359862784    1.7284918132    1.9272013239    1.7858561236
0.1227447989    2.9350795200    3.1148524487    6.1467106956    6.2836938559    1.2300792625    3.7218135823    3.7761155034    5.0319678804    0.0889172618    5.2664287486    5.0926638680    2.5433212676    2.5284140818
0.0055940679    2.8939930105    0.0485497707    1.2907994926    3.9102782141    1.3828452474    1.3988400613    3.6570440698    0.0103424447   -0.0807649131    5.1035438584    2.2338410152    0.0990114872    2.4589899121





